district,mandal,date,temp_min,temp_max
Adilabad,Bheempoor,2020-04-01,22.2,37.4
Adilabad,Bheempoor,2020-04-02,21.7,38.6
Adilabad,Bheempoor,2020-04-03,24.6,38.6
Adilabad,Bheempoor,2020-04-04,23.9,38.2
Adilabad,Bheempoor,2020-04-05,22.4,38.8
Adilabad,Bheempoor,2020-04-06,23.8,38.1
Adilabad,Bheempoor,2020-04-07,21.6,39.7
Adilabad,Bheempoor,2020-04-08,25.5,39.8
Adilabad,Bheempoor,2020-04-09,20.0,39.6
Adilabad,Bheempoor,2020-04-10,21.8,38.9
Adilabad,Bheempoor,2020-04-11,24.1,39.5
Adilabad,Bheempoor,2020-04-12,23.0,39.6
Adilabad,Bheempoor,2020-04-13,24.5,40.9
Adilabad,Bheempoor,2020-04-14,25.5,40.7
Adilabad,Bheempoor,2020-04-15,26.4,40.9
Adilabad,Bheempoor,2020-04-16,24.6,41.0
Adilabad,Bheempoor,2020-04-17,24.5,41.1
Adilabad,Bheempoor,2020-04-18,25.9,42.0
Adilabad,Bheempoor,2020-04-19,26.3,41.6
Adilabad,Bheempoor,2020-04-20,25.1,38.5
Adilabad,Bheempoor,2020-04-21,26.2,41.3
Adilabad,Bheempoor,2020-04-22,22.7,41.0
Adilabad,Bheempoor,2020-04-23,28.1,40.9
Adilabad,Bheempoor,2020-04-24,25.9,41.5
Adilabad,Bheempoor,2020-04-25,28.0,41.2
Adilabad,Bheempoor,2020-04-26,24.2,40.7
Adilabad,Bheempoor,2020-04-27,24.0,40.0
Adilabad,Bheempoor,2020-04-28,26.4,39.6
Adilabad,Bheempoor,2020-04-29,23.3,40.0
Adilabad,Bheempoor,2020-04-30,26.1,41.1
Adilabad,Bheempoor,2020-05-01,28.8,41.4
Adilabad,Bheempoor,2020-05-02,27.4,42.0
Adilabad,Bheempoor,2020-05-03,28.9,43.0
Adilabad,Bheempoor,2020-05-04,26.6,43.4
Adilabad,Bheempoor,2020-05-05,29.1,43.6
Adilabad,Bheempoor,2020-05-06,27.7,43.5
Adilabad,Bheempoor,2020-05-07,29.2,42.8
Adilabad,Bheempoor,2020-05-08,28.6,41.2
Adilabad,Bheempoor,2020-05-09,29.3,42.4
Adilabad,Bheempoor,2020-05-10,27.5,43.5
Adilabad,Bheempoor,2020-05-11,24.6,38.0
Adilabad,Bheempoor,2020-05-12,25.2,39.3
Adilabad,Bheempoor,2020-05-13,29.2,42.1
Adilabad,Bheempoor,2020-05-14,26.8,37.8
Adilabad,Bheempoor,2020-05-15,29.7,41.5
Adilabad,Bheempoor,2020-05-16,26.8,40.7
Adilabad,Bheempoor,2020-05-17,27.7,40.8
Adilabad,Bheempoor,2020-05-18,29.3,42.0
Adilabad,Bheempoor,2020-05-19,27.1,42.4
Adilabad,Bheempoor,2020-05-20,25.7,42.0
Adilabad,Bheempoor,2020-05-21,23.2,43.8
Adilabad,Bheempoor,2020-05-22,24.9,43.3
Adilabad,Bheempoor,2020-05-23,26.2,45.3
Adilabad,Bheempoor,2020-05-24,28.4,44.5
Adilabad,Bheempoor,2020-05-25,30.5,45.0
Adilabad,Bheempoor,2020-05-26,34.6,45.2
Adilabad,Bheempoor,2020-05-27,32.9,45.1
Adilabad,Bheempoor,2020-05-28,31.8,44.8
Adilabad,Bheempoor,2020-05-29,32.5,43.7
Adilabad,Bheempoor,2020-05-30,30.9,44.2
Adilabad,Bheempoor,2020-05-31,31.1,42.3
Adilabad,Jainad,2020-04-01,22.4,37.2
Adilabad,Jainad,2020-04-02,22.5,38.8
Adilabad,Jainad,2020-04-03,24.6,39.3
Adilabad,Jainad,2020-04-04,24.6,38.9
Adilabad,Jainad,2020-04-05,22.2,38.2
Adilabad,Jainad,2020-04-06,23.3,38.3
Adilabad,Jainad,2020-04-07,21.3,39.6
Adilabad,Jainad,2020-04-08,23.9,38.9
Adilabad,Jainad,2020-04-09,20.4,39.6
Adilabad,Jainad,2020-04-10,23.1,39.3
Adilabad,Jainad,2020-04-11,24.0,39.4
Adilabad,Jainad,2020-04-12,22.1,38.9
Adilabad,Jainad,2020-04-13,25.6,40.4
Adilabad,Jainad,2020-04-14,24.5,40.7
Adilabad,Jainad,2020-04-15,26.9,40.9
Adilabad,Jainad,2020-04-16,24.6,40.3
Adilabad,Jainad,2020-04-17,27.5,41.2
Adilabad,Jainad,2020-04-18,28.0,40.4
Adilabad,Jainad,2020-04-19,25.1,41.6
Adilabad,Jainad,2020-04-20,25.8,38.9
Adilabad,Jainad,2020-04-21,25.3,40.7
Adilabad,Jainad,2020-04-22,23.7,41.2
Adilabad,Jainad,2020-04-23,27.8,41.1
Adilabad,Jainad,2020-04-24,28.6,42.0
Adilabad,Jainad,2020-04-25,27.4,41.5
Adilabad,Jainad,2020-04-26,25.5,40.2
Adilabad,Jainad,2020-04-27,26.8,40.6
Adilabad,Jainad,2020-04-28,26.5,39.8
Adilabad,Jainad,2020-04-29,23.6,38.5
Adilabad,Jainad,2020-04-30,26.4,41.0
Adilabad,Jainad,2020-05-01,28.9,41.6
Adilabad,Jainad,2020-05-02,27.6,41.9
Adilabad,Jainad,2020-05-03,28.4,43.2
Adilabad,Jainad,2020-05-04,28.1,43.6
Adilabad,Jainad,2020-05-05,29.5,44.0
Adilabad,Jainad,2020-05-06,31.8,43.3
Adilabad,Jainad,2020-05-07,28.3,42.9
Adilabad,Jainad,2020-05-08,30.4,41.0
Adilabad,Jainad,2020-05-09,29.0,42.9
Adilabad,Jainad,2020-05-10,28.3,41.7
Adilabad,Jainad,2020-05-11,26.9,38.7
Adilabad,Jainad,2020-05-12,25.6,40.1
Adilabad,Jainad,2020-05-13,26.6,41.0
Adilabad,Jainad,2020-05-14,25.0,37.4
Adilabad,Jainad,2020-05-15,29.2,41.9
Adilabad,Jainad,2020-05-16,26.7,41.3
Adilabad,Jainad,2020-05-17,26.6,41.8
Adilabad,Jainad,2020-05-18,28.5,41.6
Adilabad,Jainad,2020-05-19,27.4,43.3
Adilabad,Jainad,2020-05-20,26.8,40.6
Adilabad,Jainad,2020-05-21,25.7,42.5
Adilabad,Jainad,2020-05-22,26.0,43.4
Adilabad,Jainad,2020-05-23,28.4,45.0
Adilabad,Jainad,2020-05-24,28.7,44.4
Adilabad,Jainad,2020-05-25,31.8,45.8
Adilabad,Jainad,2020-05-26,34.2,45.3
Adilabad,Jainad,2020-05-27,31.1,45.7
Adilabad,Jainad,2020-05-28,32.9,45.2
Adilabad,Jainad,2020-05-29,31.5,44.6
Adilabad,Jainad,2020-05-30,30.5,43.6
Adilabad,Jainad,2020-05-31,30.1,41.2
Adilabad,Bela,2020-04-01,22.7,37.4
Adilabad,Bela,2020-04-02,22.3,37.6
Adilabad,Bela,2020-04-03,24.5,37.8
Adilabad,Bela,2020-04-04,24.4,37.7
Adilabad,Bela,2020-04-05,21.7,37.1
Adilabad,Bela,2020-04-06,22.8,37.2
Adilabad,Bela,2020-04-07,20.9,38.1
Adilabad,Bela,2020-04-08,23.5,38.3
Adilabad,Bela,2020-04-09,22.5,38.2
Adilabad,Bela,2020-04-10,22.7,38.5
Adilabad,Bela,2020-04-11,24.0,38.1
Adilabad,Bela,2020-04-12,21.6,37.7
Adilabad,Bela,2020-04-13,24.7,39.1
Adilabad,Bela,2020-04-14,25.9,39.8
Adilabad,Bela,2020-04-15,24.2,39.8
Adilabad,Bela,2020-04-16,26.5,38.6
Adilabad,Bela,2020-04-17,28.3,39.9
Adilabad,Bela,2020-04-18,26.9,40.1
Adilabad,Bela,2020-04-19,22.5,40.8
Adilabad,Bela,2020-04-20,24.6,37.6
Adilabad,Bela,2020-04-21,25.3,39.4
Adilabad,Bela,2020-04-22,23.1,39.9
Adilabad,Bela,2020-04-23,28.4,39.6
Adilabad,Bela,2020-04-24,29.0,40.7
Adilabad,Bela,2020-04-25,28.4,40.4
Adilabad,Bela,2020-04-26,25.0,39.7
Adilabad,Bela,2020-04-27,26.7,39.7
Adilabad,Bela,2020-04-28,24.9,39.1
