,District,Mandal,Date,temp_min (⁰C),temp_max (⁰C)
0,Adilabad,Bheempoor,2019-07-01,23.9,30.1
1,Adilabad,Bheempoor,2019-07-02,23.5,30.9
2,Adilabad,Bheempoor,2019-07-03,25.0,32.4
3,Adilabad,Bheempoor,2019-07-04,25.2,31.5
4,Adilabad,Bheempoor,2019-07-05,26.2,33.8
5,Adilabad,Bheempoor,2019-07-06,25.2,33.6
6,Adilabad,Bheempoor,2019-07-07,25.5,32.9
7,Adilabad,Bheempoor,2019-07-08,25.7,32.7
8,Adilabad,Bheempoor,2019-07-09,25.2,33.8
9,Adilabad,Bheempoor,2019-07-10,24.0,32.2
10,Adilabad,Bheempoor,2019-07-11,26.9,35.2
11,Adilabad,Bheempoor,2019-07-12,24.9,32.4
12,Adilabad,Bheempoor,2019-07-13,27.1,35.1
13,Adilabad,Bheempoor,2019-07-14,26.2,36.7
14,Adilabad,Bheempoor,2019-07-15,26.9,36.5
15,Adilabad,Bheempoor,2019-07-16,25.6,36.5
16,Adilabad,Bheempoor,2019-07-17,26.4,37.0
17,Adilabad,Bheempoor,2019-07-18,27.6,37.9
18,Adilabad,Bheempoor,2019-07-19,25.6,38.2
19,Adilabad,Bheempoor,2019-07-20,27.1,36.8
20,Adilabad,Bheempoor,2019-07-21,25.0,34.4
21,Adilabad,Bheempoor,2019-07-22,27.1,36.4
22,Adilabad,Bheempoor,2019-07-23,27.7,36.4
23,Adilabad,Bheempoor,2019-07-24,28.0,37.1
24,Adilabad,Bheempoor,2019-07-25,28.2,37.2
25,Adilabad,Bheempoor,2019-07-26,24.9,34.5
26,Adilabad,Bheempoor,2019-07-27,24.3,27.3
27,Adilabad,Bheempoor,2019-07-28,23.8,28.1
28,Adilabad,Bheempoor,2019-07-29,24.2,28.4
29,Adilabad,Bheempoor,2019-07-30,23.1,25.0
30,Adilabad,Bheempoor,2019-07-31,23.3,25.0
31,Adilabad,Bheempoor,2019-08-01,24.5,29.5
32,Adilabad,Bheempoor,2019-08-02,24.9,28.5
33,Adilabad,Bheempoor,2019-08-03,24.5,28.4
34,Adilabad,Bheempoor,2019-08-04,24.4,26.7
35,Adilabad,Bheempoor,2019-08-05,26.2,31.3
36,Adilabad,Bheempoor,2019-08-06,24.9,33.0
37,Adilabad,Bheempoor,2019-08-07,25.1,30.6
38,Adilabad,Bheempoor,2019-08-08,24.7,28.0
39,Adilabad,Bheempoor,2019-08-09,24.5,26.3
40,Adilabad,Bheempoor,2019-08-10,26.5,31.9
41,Adilabad,Bheempoor,2019-08-11,24.7,33.1
42,Adilabad,Bheempoor,2019-08-12,25.0,34.0
43,Adilabad,Bheempoor,2019-08-13,26.0,32.9
44,Adilabad,Bheempoor,2019-08-14,24.5,28.8
45,Adilabad,Bheempoor,2019-08-15,25.6,32.1
46,Adilabad,Bheempoor,2019-08-16,25.9,33.7
47,Adilabad,Bheempoor,2019-08-17,24.2,33.7
48,Adilabad,Bheempoor,2019-08-18,25.6,34.1
49,Adilabad,Bheempoor,2019-08-19,24.9,32.9
50,Adilabad,Bheempoor,2019-08-20,25.4,33.2
51,Adilabad,Bheempoor,2019-08-21,25.6,33.2
52,Adilabad,Bheempoor,2019-08-22,25.5,32.6
53,Adilabad,Bheempoor,2019-08-23,24.4,31.3
54,Adilabad,Bheempoor,2019-08-24,24.8,29.2
55,Adilabad,Bheempoor,2019-08-25,25.2,31.6
56,Adilabad,Bheempoor,2019-08-26,24.6,27.9
57,Adilabad,Bheempoor,2019-08-27,22.4,29.3
58,Adilabad,Bheempoor,2019-08-28,23.9,29.5
59,Adilabad,Bheempoor,2019-08-29,24.1,33.9
60,Adilabad,Bheempoor,2019-08-30,25.9,33.3
61,Adilabad,Bheempoor,2019-08-31,25.2,33.6
62,Adilabad,Bheempoor,2019-09-01,24.3,33.0
63,Adilabad,Bheempoor,2019-09-02,24.7,31.8
64,Adilabad,Bheempoor,2019-09-03,25.4,29.6
65,Adilabad,Bheempoor,2019-09-04,24.6,29.8
66,Adilabad,Bheempoor,2019-09-05,24.3,26.5
67,Adilabad,Bheempoor,2019-09-06,25.0,32.4
68,Adilabad,Bheempoor,2019-09-07,24.6,27.9
69,Adilabad,Bheempoor,2019-09-08,25.5,30.1
70,Adilabad,Bheempoor,2019-09-09,24.6,30.5
71,Adilabad,Jainad,2019-07-01,23.6,29.6
72,Adilabad,Jainad,2019-07-02,23.3,30.5
73,Adilabad,Jainad,2019-07-03,24.5,32.3
74,Adilabad,Jainad,2019-07-04,24.9,31.9
75,Adilabad,Jainad,2019-07-05,26.0,34.0
76,Adilabad,Jainad,2019-07-06,24.0,31.7
77,Adilabad,Jainad,2019-07-07,25.4,33.4
78,Adilabad,Jainad,2019-07-08,25.6,32.3
79,Adilabad,Jainad,2019-07-09,23.6,33.3
80,Adilabad,Jainad,2019-07-10,23.4,32.7
81,Adilabad,Jainad,2019-07-11,25.1,35.3
82,Adilabad,Jainad,2019-07-12,25.4,31.1
83,Adilabad,Jainad,2019-07-13,25.8,33.9
84,Adilabad,Jainad,2019-07-14,27.3,36.4
85,Adilabad,Jainad,2019-07-15,25.8,37.0
86,Adilabad,Jainad,2019-07-16,25.9,36.0
87,Adilabad,Jainad,2019-07-17,25.5,37.4
88,Adilabad,Jainad,2019-07-18,25.8,38.0
89,Adilabad,Jainad,2019-07-19,25.2,38.3
90,Adilabad,Jainad,2019-07-20,26.9,36.5
91,Adilabad,Jainad,2019-07-21,25.2,34.5
92,Adilabad,Jainad,2019-07-22,27.2,36.5
93,Adilabad,Jainad,2019-07-23,27.8,36.4
94,Adilabad,Jainad,2019-07-24,28.0,37.0
95,Adilabad,Jainad,2019-07-25,28.3,37.1
96,Adilabad,Jainad,2019-07-26,24.8,33.8
97,Adilabad,Jainad,2019-07-27,23.8,27.1
98,Adilabad,Jainad,2019-07-28,23.8,28.1
99,Adilabad,Jainad,2019-07-29,23.8,28.1
100,Adilabad,Jainad,2019-07-30,23.1,25.0
101,Adilabad,Jainad,2019-07-31,23.3,24.8
102,Adilabad,Jainad,2019-08-01,24.0,29.7
103,Adilabad,Jainad,2019-08-02,24.5,28.6
104,Adilabad,Jainad,2019-08-03,24.1,27.2
105,Adilabad,Jainad,2019-08-04,24.1,26.4
106,Adilabad,Jainad,2019-08-05,25.6,33.2
107,Adilabad,Jainad,2019-08-06,25.5,32.2
108,Adilabad,Jainad,2019-08-07,24.6,28.6
109,Adilabad,Jainad,2019-08-08,24.0,27.6
110,Adilabad,Jainad,2019-08-09,24.0,26.5
111,Adilabad,Jainad,2019-08-10,25.4,31.0
112,Adilabad,Jainad,2019-08-11,24.6,33.7
113,Adilabad,Jainad,2019-08-12,24.8,33.6
114,Adilabad,Jainad,2019-08-13,25.0,32.2
115,Adilabad,Jainad,2019-08-14,23.5,28.6
116,Adilabad,Jainad,2019-08-15,25.0,31.9
117,Adilabad,Jainad,2019-08-16,25.9,33.7
118,Adilabad,Jainad,2019-08-17,24.6,34.3
119,Adilabad,Jainad,2019-08-18,25.3,33.8
120,Adilabad,Jainad,2019-08-19,24.7,33.4
121,Adilabad,Jainad,2019-08-20,25.5,34.4
122,Adilabad,Jainad,2019-08-21,25.3,32.2
123,Adilabad,Jainad,2019-08-22,25.1,31.9
124,Adilabad,Jainad,2019-08-23,24.5,31.5
125,Adilabad,Jainad,2019-08-24,24.9,27.9
